CustomerID,Gender,DateOfBirth,ZipPostalCode
118317,M,1908-01-01,NULL
118404,M,1908-01-01,NULL
118405,M,1908-01-01,NULL
118414,M,1908-01-01,NULL
118415,M,1924-02-18,NULL
118423,M,1984-09-27,NULL
119845,M,1975-08-03,NULL
119847,M,1975-08-03,NULL
119849,M,1975-08-03,NULL
119977,M,1975-08-03,NULL
120361,M,1971-08-03,NULL
120231,F,1974-08-03,NULL
120580,F,1958-08-03,NULL
120581,M,1957-08-03,NULL
118210,M,1925-01-01,NULL
118211,M,1925-01-01,NULL
118212,M,1925-01-01,NULL
118215,M,1925-01-01,NULL
118216,M,1908-01-01,NULL
118217,M,1908-01-01,NULL
118218,M,1908-01-01,NULL
118220,M,1908-01-01,NULL
118221,M,1908-01-01,NULL
118118,F,1945-07-09,NULL
118120,M,1908-01-01,NULL
118121,M,1924-10-19,NULL
118122,M,1925-10-19,NULL
118125,M,1925-12-18,NULL
118192,M,2017-01-01,NULL
118194,M,1907-01-01,NULL
118363,M,1910-02-02,NULL
118388,M,1992-12-16,NULL
120333,M,1993-08-03,NULL
120732,M,1968-08-03,NULL
120750,F,1957-08-03,NULL
120814,M,1974-08-03,NULL
121167,F,1988-08-03,NULL
120984,F,1983-08-03,NULL
121832,M,1969-08-03,NULL
121820,M,1961-08-03,NULL
121888,F,1969-08-03,NULL
121988,F,1962-08-03,NULL
122070,M,1965-08-03,NULL
121922,M,1976-08-03,NULL
121969,M,1968-08-03,NULL
120810,M,1989-08-03,NULL
121917,M,1982-08-03,NULL
122061,M,1992-08-03,NULL
122257,M,1973-08-03,NULL
122373,M,1958-08-03,NULL
122444,M,1967-08-03,NULL
122480,M,1994-08-03,NULL
122574,M,1991-08-03,NULL
122917,F,1966-08-03,NULL
122782,M,1969-08-03,NULL
123587,F,1968-08-03,NULL
124181,M,1983-08-03,NULL
122528,M,1978-08-03,NULL
123924,M,1985-08-03,NULL
124047,F,1991-03-25,NULL
124048,M,1914-04-04,NULL
124057,M,1908-06-04,NULL
125391,M,1970-08-03,NULL
125601,M,1964-08-03,NULL
125806,F,2002-07-24,NULL
123895,M,1988-08-03,NULL
125875,M,1986-08-03,NULL
126034,F,1981-08-03,NULL
126168,M,1962-08-03,NULL
124162,M,1961-08-03,NULL
126231,F,1990-08-03,NULL
126243,M,1997-08-03,NULL
126409,F,1980-08-03,NULL
127042,F,1971-08-03,NULL
127205,M,1959-08-03,NULL
127650,F,1981-08-03,NULL
126968,M,1986-08-03,NULL
127841,M,1986-08-03,NULL
127924,F,1981-08-03,NULL
128184,F,1984-08-03,NULL
128678,M,1964-08-03,NULL
129274,F,1991-08-03,NULL
129843,F,1981-08-03,NULL
129539,F,1969-08-03,NULL
129149,F,1986-08-03,NULL
126925,M,1973-08-03,NULL
129106,M,1957-08-03,NULL
130609,F,1983-08-03,NULL
130721,F,1993-08-03,NULL
131331,M,1957-08-03,NULL
131900,F,1975-08-03,NULL
131905,M,1908-01-01,NULL
129244,M,1971-08-03,NULL
131299,F,1997-08-03,NULL
131772,F,1973-08-03,NULL
132281,F,1984-08-03,NULL
132384,M,1992-08-03,NULL
132510,M,1965-08-03,NULL
132726,F,1984-08-03,NULL
132860,M,1962-08-03,NULL
132993,M,1982-08-03,NULL
133100,F,1976-08-03,NULL
133485,M,1974-08-03,NULL
131736,F,1974-08-03,NULL
127627,F,1983-08-03,NULL
133602,F,1996-08-03,NULL
133633,F,1995-08-03,NULL
133738,F,1971-08-03,NULL
135372,F,1957-08-03,NULL
137456,F,1984-08-03,NULL
138914,M,1970-08-03,NULL
138557,F,1996-08-03,NULL
139544,F,1989-08-03,NULL
140497,F,1966-08-03,NULL
142881,M,1997-08-03,NULL
133627,M,1961-08-03,NULL
133728,F,1989-08-03,NULL
142492,F,1994-08-03,NULL
142674,F,1987-08-03,NULL
143784,F,1988-08-03,NULL
144065,M,1983-08-03,NULL
145294,M,1989-08-03,NULL
145787,M,1967-08-03,NULL
146937,F,1978-08-03,NULL
144960,M,1986-08-03,NULL
142564,F,1990-08-03,NULL
135365,M,1962-08-03,NULL
145232,F,1990-08-03,NULL
146533,M,1976-08-03,NULL
147730,F,1959-08-03,NULL
147868,F,1908-05-07,NULL
147869,F,1930-01-16,NULL
147870,F,1972-08-30,NULL
147871,F,1996-02-19,NULL
148579,F,1992-08-03,NULL
151290,F,1907-02-13,NULL
151730,F,1990-10-14,NULL
157375,M,1984-07-03,NULL
158423,M,1908-01-01,NULL
161506,M,1908-01-01,NULL
162566,F,1914-08-16,NULL
162567,F,1957-05-14,NULL
162568,F,1915-06-01,NULL
162569,F,1988-11-09,NULL
162581,F,1943-05-03,NULL
162582,F,2015-03-18,NULL
162585,F,2009-05-27,NULL
162659,F,1965-10-17,NULL
162668,F,1970-02-05,NULL
162671,F,1939-06-07,NULL
162675,F,1982-05-05,NULL
162676,F,1953-01-20,NULL
162677,F,1921-08-26,NULL
162713,F,1989-11-13,NULL
162714,F,1946-07-23,NULL
162715,F,1955-02-07,NULL
163088,F,1998-08-05,NULL
163090,F,2010-01-24,NULL
163507,F,1948-10-06,NULL
163537,F,1963-05-08,NULL
163718,F,1952-03-16,NULL
163719,F,1929-12-03,NULL
163720,F,1943-08-21,NULL
163721,F,1977-05-08,NULL
163722,F,1916-03-23,NULL
163727,F,1946-12-05,NULL
163728,F,2002-09-26,NULL
163729,F,1920-07-05,NULL
163730,F,2004-03-28,NULL
163733,F,1914-04-30,NULL
163734,F,2004-10-21,NULL
163736,F,2001-09-25,NULL
163738,F,1978-11-04,NULL
163740,F,1951-04-13,NULL
163762,F,1973-05-09,NULL
163763,F,1993-04-04,NULL
163765,F,1965-04-19,NULL
163766,F,2007-12-07,NULL
163767,F,1995-06-17,NULL
163861,F,1975-06-19,NULL
163864,F,1946-09-26,NULL
163865,F,1929-03-16,NULL
163866,F,1985-01-17,NULL
163867,F,1974-11-30,NULL
163914,F,1956-02-10,NULL
163915,F,1933-08-18,NULL
163916,F,1933-08-22,NULL
163917,F,1953-01-13,NULL
163918,F,1977-02-01,NULL
164010,F,1993-06-26,NULL
164013,F,1960-10-24,NULL
164014,F,1927-07-26,NULL
164016,F,1998-10-27,NULL
164017,F,2014-08-07,NULL
164018,F,1961-12-06,NULL
164019,F,2003-07-09,NULL
164042,F,1922-08-10,NULL
164044,F,1990-12-11,NULL
164045,F,1936-07-18,NULL
164046,F,2016-02-10,NULL
164047,F,2015-05-11,NULL
164048,F,2008-07-03,NULL
164057,F,1926-03-15,NULL
164058,F,1923-11-27,NULL
164059,F,1995-10-19,NULL
164061,F,1939-10-18,NULL
164062,F,1965-01-09,NULL
164068,F,1952-01-14,NULL
164069,F,1954-02-26,NULL
164071,F,1928-09-05,NULL
164072,F,1913-09-10,NULL
164073,F,1990-12-30,NULL
164074,F,1938-04-06,NULL
164124,F,1952-06-07,NULL
164126,F,1930-05-28,NULL
164127,F,1956-09-15,NULL
164128,F,1953-01-21,NULL
164130,F,1909-07-14,NULL
164131,F,1918-01-09,NULL
164144,F,2010-03-10,NULL
164146,F,1961-02-15,NULL
164147,F,2003-09-14,NULL
164148,F,1976-10-14,NULL
164149,F,1912-06-29,NULL
164150,F,2016-02-17,NULL
164171,F,1939-10-23,NULL
164172,F,1938-01-27,NULL
164177,F,1941-02-23,NULL
164183,F,1961-09-03,NULL
164185,F,2018-08-19,NULL
164244,F,1911-01-30,NULL
164246,F,2010-07-10,NULL
164247,F,2012-10-15,NULL
164248,F,1974-02-28,NULL
164262,F,1939-10-15,NULL
164263,F,1980-05-28,NULL
164264,F,1996-03-31,NULL
164269,F,1959-02-28,NULL
164364,F,1964-03-25,NULL
164365,F,1949-07-07,NULL
164367,F,2002-02-03,NULL
164368,F,1995-06-03,NULL
164369,F,1942-11-10,NULL
164379,F,2002-05-29,NULL
164380,F,1965-05-02,NULL
164381,F,1981-03-22,NULL
164382,F,2001-02-02,NULL
164383,F,1981-03-04,NULL
164386,F,1917-06-10,NULL
164398,F,1921-07-25,NULL
164399,F,1979-06-12,NULL
164400,F,1933-07-04,NULL
164402,F,2002-03-26,NULL
164474,F,1930-08-17,NULL
164475,F,1911-05-13,NULL
164476,F,1926-10-18,NULL
164477,F,2018-04-20,NULL
164478,F,2008-02-27,NULL
164564,F,2015-08-24,NULL
164565,F,2007-04-14,NULL
164566,F,1994-10-14,NULL
164567,F,1908-05-25,NULL
164569,F,2013-06-03,NULL
164595,F,1947-02-27,NULL
164596,F,1913-03-03,NULL
164597,F,1992-05-07,NULL
164598,F,1943-11-30,NULL
164600,F,1921-08-23,NULL
164644,F,1975-10-06,NULL
164645,F,2018-09-12,NULL
164646,F,1982-01-04,NULL
164648,F,1969-04-04,NULL
164649,F,1998-01-27,NULL
164658,F,1966-10-21,NULL
164661,F,1915-12-26,NULL
164662,F,1950-02-19,NULL
164664,F,2007-01-13,NULL
164665,F,2011-02-03,NULL
164666,F,1970-10-20,NULL
164676,F,1929-08-17,NULL
164678,F,1908-09-21,NULL
164682,F,1929-01-08,NULL
164683,F,1996-01-06,NULL
164684,F,1925-10-26,NULL
164725,F,1989-03-22,NULL
164728,F,1948-07-30,NULL
164729,F,2005-08-05,NULL
164730,F,1992-09-08,NULL
164731,F,2009-06-13,NULL
164732,F,1910-08-14,NULL
164733,F,1948-03-22,NULL
164735,F,1991-07-16,NULL
164736,F,1951-07-11,NULL
164827,F,1995-02-13,NULL
164832,F,1950-08-11,NULL
164833,F,1999-07-11,NULL
164834,F,1998-11-28,NULL
164934,F,1921-04-29,NULL
164936,F,2003-08-04,NULL
164937,F,1962-11-07,NULL
164938,F,1984-06-20,NULL
164971,F,1939-04-16,NULL
164972,F,2016-12-13,NULL
164975,F,1982-03-12,NULL
164976,F,1996-02-01,NULL
164977,F,1939-09-29,NULL
165008,F,1991-07-22,NULL
165011,F,1915-04-14,NULL
165012,F,1921-10-27,NULL
165013,F,2016-02-11,NULL
165014,F,2011-08-03,NULL
165121,F,1914-04-02,NULL
165123,F,1951-10-05,NULL
165126,F,1948-05-22,NULL
165127,F,1928-07-05,NULL
165128,F,1998-09-23,NULL
165182,F,2003-05-29,NULL
165184,F,1923-05-16,NULL
165185,F,1972-02-05,NULL
165212,F,1945-04-21,NULL
165213,F,1908-03-13,NULL
165215,F,1956-12-06,NULL
165216,F,1932-08-30,NULL
165217,F,1993-12-16,NULL
165248,F,1963-06-16,NULL
165395,F,1930-11-27,NULL
165396,F,1958-06-02,NULL
165397,F,1973-12-08,NULL
165399,F,1974-04-15,NULL
165477,M,1964-01-24,NULL
165495,F,1915-07-10,NULL
165526,F,1966-01-27,NULL
165554,M,1999-05-16,NULL
165586,M,1992-10-12,NULL
165589,M,1998-04-06,NULL
166679,M,1969-12-16,NULL
166727,M,1978-02-11,NULL
166728,M,1979-01-17,NULL
166795,M,2010-11-17,NULL
166864,M,1955-02-10,NULL
166870,M,1914-01-15,NULL
166874,M,1935-07-12,NULL
166887,F,1977-09-25,NULL
149481,F,1977-10-03,NULL
149483,F,1966-11-16,NULL
149486,F,1997-04-19,NULL
150061,F,1983-08-03,NULL
148389,M,1989-08-03,NULL
149961,F,1996-08-03,NULL
150292,F,1994-08-03,NULL
165637,M,1947-12-11,NULL
169729,M,2016-02-07,NULL
169735,M,2006-03-07,NULL
169737,M,1940-01-09,NULL
169739,M,1985-03-30,NULL
170008,M,1981-10-02,NULL
170721,M,1921-10-31,NULL
172134,M,1960-08-03,NULL
172138,F,1990-08-03,NULL
172153,F,1993-08-03,NULL
172162,F,1993-08-03,NULL
172178,M,1996-08-03,NULL
172188,M,1993-08-03,NULL
172189,F,1989-08-03,NULL
172196,M,1987-08-03,NULL
172203,F,1983-08-03,NULL
172206,F,1992-08-03,NULL
172211,M,1968-08-03,NULL
172225,M,1983-08-03,NULL
172229,M,1982-08-03,NULL
172232,M,1965-08-03,NULL
172237,M,1965-08-03,NULL
172243,M,1959-08-03,NULL
172250,M,1961-08-03,NULL
172253,M,1960-08-03,NULL
172264,M,1978-08-03,NULL
172269,F,1960-08-03,NULL
172276,M,1982-08-03,NULL
172283,F,1979-08-03,NULL
172289,F,1988-08-03,NULL
172303,M,1966-08-03,NULL
172307,M,1968-08-03,NULL
172332,M,1991-08-03,NULL
172373,M,1993-08-03,NULL
172378,F,1991-08-03,NULL
172419,F,1969-08-03,NULL
172440,M,1963-08-03,NULL
172443,M,1959-08-03,NULL
172465,F,1982-08-03,NULL
172468,M,1988-08-03,NULL
172471,M,1978-08-03,NULL
172498,M,1999-08-03,NULL
172501,F,1979-08-03,NULL
172513,F,1962-08-03,NULL
172528,M,1966-08-03,NULL
172531,F,1990-08-03,NULL
172563,F,1965-08-03,NULL
172580,F,1982-08-03,NULL
172581,F,1991-08-03,NULL
172589,M,1985-08-03,NULL
172593,M,1971-08-03,NULL
172594,F,1986-08-03,NULL
172596,F,1989-08-03,NULL
172617,F,1999-08-03,NULL
172627,M,1971-08-03,NULL
172642,F,1990-08-03,NULL
172657,M,1967-08-03,NULL
172668,M,1993-08-03,NULL
172669,M,1961-08-03,NULL
172672,M,1986-08-03,NULL
172676,M,1984-08-03,NULL
172696,M,1990-08-03,NULL
172718,F,1995-08-03,NULL
172749,F,1967-08-03,NULL
172809,M,1959-08-03,NULL
172817,M,1976-08-03,NULL
172821,M,1971-08-03,NULL
172826,M,1920-08-18,NULL
172865,M,1959-08-03,NULL
172913,M,1959-08-03,NULL
172916,M,1967-08-03,NULL
172921,M,1962-08-03,NULL
172927,M,1994-08-03,NULL
172933,F,1998-08-03,NULL
172942,M,1969-08-03,NULL
172943,M,1974-08-03,NULL
172965,M,1966-08-03,NULL
172974,M,1997-08-03,NULL
172982,F,1990-08-03,NULL
172995,F,1971-08-03,NULL
172997,M,2002-03-02,NULL
173020,F,1974-08-03,NULL
173029,M,1964-08-03,NULL
173032,F,1998-08-03,NULL
173049,M,1961-08-03,NULL
173066,F,1987-08-03,NULL
173068,M,1970-08-03,NULL
173075,F,1987-08-03,NULL
173098,M,1971-08-03,NULL
173130,F,1972-08-03,NULL
173143,M,1998-08-03,NULL
173156,M,1972-08-03,NULL
173185,F,1998-08-03,NULL
173187,F,1974-08-03,NULL
173210,M,1999-08-03,NULL
173211,F,1998-08-03,NULL
173219,M,1982-08-03,NULL
173234,F,1981-08-03,NULL
173242,F,1960-08-03,NULL
173243,M,1970-08-03,NULL
173247,F,1979-08-03,NULL
173250,M,1995-08-03,NULL
173259,F,1966-08-03,NULL
173264,M,1960-08-03,NULL
173268,F,1969-08-03,NULL
173277,M,1972-08-03,NULL
173281,M,1959-08-03,NULL
173293,M,1971-08-03,NULL
173297,M,1973-08-03,NULL
173305,M,1965-08-03,NULL
173308,F,1995-08-03,NULL
173313,F,1977-08-03,NULL
173317,M,1993-08-03,NULL
173318,F,1961-08-03,NULL
173320,F,1973-08-03,NULL
173337,M,1994-08-03,NULL
173343,M,1978-08-03,NULL
173347,M,1971-08-03,NULL
173351,M,1983-08-03,NULL
173374,M,1974-08-03,NULL
173379,M,1976-08-03,NULL
173381,M,1994-08-03,NULL
173397,F,1994-08-03,NULL
173401,F,1998-08-03,NULL
173427,F,1971-08-03,NULL
173450,M,1961-08-03,NULL
173455,M,1965-08-03,NULL
173461,M,1975-08-03,NULL
173467,F,1975-08-03,NULL
173478,M,1986-08-03,NULL
173490,F,1976-08-03,NULL
173494,M,1996-08-03,NULL
173502,F,1990-08-03,NULL
173517,M,1975-08-03,NULL
173540,F,1979-08-03,NULL
173553,F,1996-08-03,NULL
173554,F,1965-08-03,NULL
173555,F,1983-08-03,NULL
173577,M,1970-08-03,NULL
173586,F,1990-08-03,NULL
173594,M,1990-08-03,NULL
173665,M,1995-08-03,NULL
173672,M,1991-08-03,NULL
173689,M,1971-08-03,NULL
173717,M,1966-01-25,NULL
173720,M,1976-05-29,NULL
173727,M,2015-07-22,NULL
173728,F,1911-01-31,NULL
173741,M,1997-08-03,NULL
173743,M,1975-08-03,NULL
173794,M,1997-12-13,NULL
174571,M,1970-01-04,NULL
171387,M,2000-03-22,NULL
171997,M,1964-08-03,NULL
171999,M,1983-08-03,NULL
172000,F,1982-08-03,NULL
172036,F,1996-08-03,NULL
172039,M,1972-08-03,NULL
172056,M,1965-08-03,NULL
172059,M,1974-08-03,NULL
172064,F,1977-08-03,NULL
172074,M,1964-08-03,NULL
172084,M,1960-08-03,NULL
171771,M,1963-02-01,NULL
171789,M,2000-09-29,NULL
171791,M,2016-02-07,NULL
171792,M,1950-02-16,NULL
174969,M,1914-02-04,NULL
175021,M,1956-10-24,NULL
175027,M,1968-01-25,NULL
175218,M,1930-10-11,NULL
175573,M,1973-02-20,NULL
175395,M,1913-12-02,NULL
174945,M,2019-08-12,NULL
176106,M,1917-02-04,NULL
2068,M,1975-08-03,44835
115962,M,1984-09-27,41463
118062,F,1989-11-20,435 31
118181,M,1923-03-16,41463
117514,M,1978-10-25,41714
118222,M,1909-02-01,41463
118196,M,1908-04-08,5123
118209,M,2014-07-11,12345
118062,F,1989-11-20,435 31
118062,F,1989-11-20,435 31
118062,F,1989-11-20,435 31 ?+ /(()7{[
118062,F,1989-11-20,435 31
118062,F,1989-11-20,435 31
118062,F,1989-11-20,435 31
118062,F,1989-11-20,435 31
118062,F,1989-11-20,435 31
118360,M,1912-07-01,41463
118401,M,1939-11-12,41191
119978,M,1975-08-03,40010
119985,F,1972-08-03,20800
119988,M,1977-08-03,40010
119989,M,1960-08-03,40010
119990,F,1987-08-03,11000
119992,F,1961-08-03,20800
119998,M,1975-08-03,40010
120000,F,1990-08-03,20800
120001,M,1962-08-03,40010
120004,M,1976-08-03,11000
120006,M,1976-08-03,40010
120007,F,1993-08-03,11000
120132,M,1974-08-03,20800
120133,M,1973-08-03,40010
120135,M,1973-08-03,11000
120137,M,1962-08-03,40010
120138,M,1968-08-03,40010
120139,M,1957-08-03,40010
120140,F,1982-08-03,11000
120141,F,1969-08-03,40010
120147,M,1967-08-03,11000
120149,F,1977-08-03,20800
120150,M,1982-08-03,20800
120151,F,1983-08-03,20800
120152,M,1964-08-03,11000
120157,M,1975-08-03,40010
120158,M,1965-08-03,40010
120159,F,1969-08-03,40010
120161,F,1958-08-03,11000
120162,M,1958-08-03,40010
120164,F,1984-08-03,40010
120167,M,1975-08-03,40010
120168,M,1995-08-03,11000
120169,F,1997-08-03,20800
120170,M,1961-08-03,40010
120173,F,1962-08-03,11000
120177,F,1960-08-03,40010
120178,M,1981-08-03,40010
120183,F,1960-08-03,11000
120184,M,1972-08-03,40010
120185,M,1995-08-03,11000
120187,M,1990-08-03,40010
120188,M,1961-08-03,11000
120192,F,1990-08-03,20800
120196,M,1974-08-03,40010
120197,F,1968-08-03,40010
120198,M,1966-08-03,40010
120200,M,1965-08-03,20800
120201,M,1980-08-03,40010
120203,F,1970-08-03,40010
120204,M,1992-08-03,11000
120205,M,1977-08-03,40010
120207,M,1965-08-03,20800
120209,M,1975-08-03,40010
120211,M,1962-08-03,40010
120212,M,1967-08-03,20800
120214,F,1959-08-03,40010
120216,M,1961-08-03,20800
120217,M,1959-08-03,11000
120218,M,1984-08-03,11000
120219,F,1989-08-03,11000
120221,M,1961-08-03,40010
120225,M,1976-08-03,20800
120226,F,1978-08-03,40010
120227,F,1959-08-03,11000
120232,M,1970-08-03,20800
120233,M,1958-08-03,11000
120234,M,1974-08-03,20800
120235,M,1975-08-03,11000
120237,M,1963-08-03,40010
120238,F,1977-08-03,11000
120239,M,1988-08-03,11000
120241,F,1959-08-03,11000
120242,F,1980-08-03,20800
120243,M,1973-08-03,11000
120244,F,1966-08-03,40010
120245,M,1968-08-03,40010
120246,F,1964-08-03,40010
120248,M,1968-08-03,20800
120251,F,1958-08-03,11000
120253,F,1972-08-03,11000
120259,F,1973-08-03,20800
120261,F,1961-08-03,20800
120262,M,1976-08-03,11000
120264,M,1961-08-03,11000
120266,F,1965-08-03,40010
120269,M,1962-08-03,40010
120271,M,1976-08-03,20800
120275,F,1978-08-03,40010
120278,F,1967-08-03,20800
120279,F,1957-08-03,40010
120280,M,1970-08-03,40010
120281,M,1977-08-03,40010
120282,F,1981-08-03,40010
120283,M,1989-08-03,11000
120284,M,1958-08-03,11000
120285,M,1970-08-03,20800
120286,F,1975-08-03,40010
120288,F,1970-08-03,20800
120289,M,1960-08-03,11000
120292,M,1960-08-03,20800
120293,M,1995-08-03,40010
120294,F,1971-08-03,11000
120295,F,1972-08-03,40010
120296,M,1976-08-03,40010
120297,M,1970-08-03,40010
120299,F,1980-08-03,11000
120300,F,1982-08-03,11000
120302,M,1962-08-03,11000
120303,M,1969-08-03,20800
120305,F,1993-08-03,11000
120309,M,1983-08-03,11000
120312,M,1987-08-03,11000
120315,F,1996-08-03,11000
120316,F,1978-08-03,11000
120318,F,1961-08-03,20800
120322,M,1962-08-03,20800
120323,F,1960-08-03,40010
120325,F,1969-08-03,40010
120327,F,1969-08-03,11000
120328,M,1957-08-03,20800
120335,F,1965-08-03,11000
120336,F,1989-08-03,20800
120339,M,1961-08-03,11000
120341,F,1991-08-03,20800
120342,M,1969-08-03,40010
120343,F,1969-08-03,11000
120346,M,1991-08-03,11000
120350,M,1974-08-03,20800
120352,F,1964-08-03,20800
120355,M,1957-08-03,40010
120356,F,1967-08-03,11000
120357,M,1973-08-03,20800
120358,M,1959-08-03,11000
120359,M,1963-08-03,40010
120363,M,1963-08-03,20800
120364,M,1967-08-03,40010
120366,M,1981-08-03,11000
120368,F,1969-08-03,40010
120370,M,1976-08-03,40010
120372,M,1968-08-03,20800
120373,M,1974-08-03,11000
120374,M,1960-08-03,20800
120377,M,1977-08-03,40010
120378,M,1970-08-03,40010
120379,M,1969-08-03,20800
120382,M,1966-08-03,40010
120383,M,1958-08-03,40010
120385,M,1980-08-03,40010
120386,F,1987-08-03,11000
120387,M,1968-08-03,40010
120388,M,1970-08-03,20800
120389,M,1960-08-03,40010
120390,M,1995-08-03,40010
120392,F,1962-08-03,11000
120394,M,1962-08-03,11000
120395,F,1977-08-03,11000
120398,M,1993-08-03,40010
120401,M,1959-08-03,40010
120403,M,1965-08-03,40010
120406,M,1970-08-03,11000
120408,M,1969-08-03,40010
120411,M,1975-08-03,40010
120413,F,1964-08-03,11000
120415,F,1990-08-03,11000
120416,F,1976-08-03,40010
120419,M,1962-08-03,40010
120420,F,1976-08-03,11000
120422,M,1964-08-03,11000
120423,F,1971-08-03,11000
120426,M,1957-08-03,40010
120427,M,1974-08-03,20800
120428,M,1970-08-03,20800
120431,M,1959-08-03,11000
120432,M,1975-08-03,40010
120433,F,1989-08-03,40010
120434,M,1958-08-03,20800
120438,M,1974-08-03,40010
120439,M,1972-08-03,40010
120441,M,1970-08-03,40010
120444,M,1957-08-03,20800
120446,M,1977-08-03,40010
120447,M,1957-08-03,40010
120448,M,1966-08-03,40010
120450,M,1972-08-03,40010
120451,F,1995-08-03,20800
120452,F,1958-08-03,11000
120456,F,1985-08-03,11000
120457,F,1970-08-03,11000
120458,M,1997-08-03,20800
120459,M,1966-08-03,40010
120460,M,1974-08-03,40010
120462,F,1995-08-03,40010
120464,F,1963-08-03,11000
120465,M,1970-08-03,20800
120466,F,1977-08-03,40010
120467,F,1967-08-03,11000
120469,M,1995-08-03,11000
120472,M,1968-08-03,40010
120473,M,1962-08-03,40010
120475,M,1964-08-03,11000
120476,M,1976-08-03,11000
120477,F,1972-08-03,11000
120479,M,1967-08-03,11000
120480,M,1964-08-03,40010
120481,F,1962-08-03,11000
120483,M,1968-08-03,11000
120484,M,1960-08-03,40010
120486,F,1977-08-03,20800
120488,F,1992-08-03,20800
120489,F,1978-08-03,11000
120491,M,1996-08-03,11000
120495,M,1975-08-03,11000
120497,M,1989-08-03,11000
120498,F,1965-08-03,11000
120499,M,1959-08-03,20800
120500,M,1962-08-03,20800
120501,F,1992-08-03,11000
120502,F,1977-08-03,20800
120507,F,1961-08-03,20800
120510,M,1964-08-03,40010
120511,M,1972-08-03,40010
120512,M,1957-08-03,20800
120514,F,1970-08-03,11000
120516,M,1975-08-03,11000
120520,M,1993-08-03,20800
120524,M,1959-08-03,11000
120530,M,1969-08-03,20800
120532,M,1959-08-03,40010
120533,M,1966-08-03,20800
120536,M,1967-08-03,11000
120538,F,1990-08-03,11000
120539,M,1964-08-03,11000
120543,M,1967-08-03,20800
120544,M,1963-08-03,11000
120546,M,1961-08-03,40010
120550,M,1966-08-03,20800
120556,M,1970-08-03,40010
120558,M,1964-08-03,40010
120559,M,1973-08-03,40010
120560,M,1963-08-03,40010
120561,M,1974-08-03,11000
120562,M,1958-08-03,11000
120563,F,1967-08-03,40010
120564,M,1958-08-03,20800
120565,F,1973-08-03,40010
120567,M,1961-08-03,40010
120568,F,1983-08-03,11000
120570,M,1968-08-03,20800
120573,F,1957-08-03,11000
120574,M,1973-08-03,40010
120575,M,1971-08-03,40010
120576,F,1969-08-03,40010
120577,F,1977-08-03,11000
120583,M,1968-08-03,40010
120584,M,1975-08-03,20800
120585,M,1973-08-03,40010
120586,F,1958-08-03,20800
120588,F,1968-08-03,20800
120591,F,1964-08-03,40010
120592,M,1974-08-03,40010
120593,M,1975-08-03,40010
120594,M,1982-08-03,20800
120595,M,1967-08-03,40010
120596,F,1978-08-03,40010
120599,M,1963-08-03,40010
120600,M,1965-08-03,40010
120615,M,1975-08-03,44835
120658,M,1969-08-03,11000
120659,F,1972-08-03,40010
